iter	Passed	Remaining
261	528	1488
262	529	1484
263	530	1480
264	533	1478
265	535	1476
266	536	1473
267	538	1470
268	539	1467
269	541	1462
270	542	1458
271	543	1454
272	544	1450
273	546	1449
274	549	1447
275	550	1445
276	552	1441
277	553	1438
278	555	1435
279	556	1431
280	557	1427
281	558	1422
282	559	1418
283	562	1417
284	563	1414
285	565	1411
286	566	1408
287	568	1404
288	570	1402
289	571	1398
290	572	1395
291	574	1394
292	577	1393
293	578	1390
294	580	1387
295	581	1383
296	583	1381
297	585	1378
298	586	1375
299	587	1371
300	588	1367
301	592	1370
302	594	1367
303	595	1363
304	597	1361
305	599	1358
306	600	1355
307	601	1352
308	602	1348
309	603	1344
310	606	1344
311	608	1341
312	609	1338
313	611	1335
314	613	1333
315	614	1330
316	615	1326
317	616	1322
318	617	1318
319	618	1314
320	620	1312
321	622	1310
322	623	1307
323	625	1304
324	626	1301
325	628	1298
326	629	1295
327	630	1292
328	631	1288
329	632	1284
330	634	1282
331	636	1280
332	637	1277
333	638	1273
334	640	1270
335	641	1268
336	643	1265
337	644	1262
338	645	1258
339	646	1254
340	647	1250
341	648	1248
342	650	1246
343	652	1243
344	653	1240
345	655	1238
346	656	1235
347	658	1232
348	659	1229
349	660	1225
350	660	1222
351	661	1218
352	664	1218
353	666	1215
354	667	1212
355	669	1210
356	670	1207
357	672	1205
358	673	1202
359	674	1199
360	675	1196
361	676	1192
362	679	1192
363	681	1190
364	683	1188
365	684	1186
366	686	1183
367	687	1180
368	688	1177
369	689	1174
370	690	1170
371	691	1167
372	694	1166
373	695	1164
374	696	1161
375	698	1159
376	699	1156
377	701	1155
378	703	1151
379	703	1148
380	704	1145
381	705	1141
382	709	1142
383	710	1140
384	712	1138
385	714	1136
386	715	1133
387	716	1130
388	718	1127
389	719	1125
390	720	1122
391	722	1121
392	724	1119
393	726	1117
394	728	1115
395	729	1113
396	731	1110
397	732	1108
398	733	1105
399	734	1102
400	735	1098
401	738	1098
402	739	1096
403	741	1093
404	742	1091
405	743	1088
406	745	1085
407	746	1083
408	747	1080
409	748	1077
410	749	1074
411	750	1071
412	752	1070
413	754	1068
414	756	1066
415	757	1063
416	759	1061
417	760	1058
418	761	1056
419	762	1053
420	763	1050
421	765	1047
422	767	1047
423	769	1044
424	770	1042
425	771	1040
426	773	1037
427	774	1034
428	775	1032
429	776	1029
430	777	1026
431	778	1023
432	779	1020
433	781	1019
434	783	1017
435	784	1015
436	785	1012
437	787	1010
438	788	1007
439	789	1004
440	790	1001
441	791	998
442	792	996
443	793	993
444	794	990
445	796	988
446	798	987
447	799	984
448	800	982
449	801	979
450	802	976
451	803	974
452	804	971
453	805	968
454	806	965
455	806	962
456	807	959
